"ENTREZ","CD34_1","ORTHO_1","CD34_2","ORTHO_2"
"350","204","0","103","0"
"351","15586","479","10476","39"
"353","842","355","1188","86"
"354","0","0","0","0"
"355","123","291","139","16"
"356","1","1","0","0"
"357","380","3","177","0"
"358","572","2225","597","4051"
"359","0","12","1","0"
"360","320","502","46","1114"
"361","0","1","0","0"
"362","3","1","15","0"
"363","14","6","4","1"
"364","7","0","1","0"
"366","6","0","1","0"
"367","42","0","51","1"
"368","28","0","24","0"
"369","1204","1034","833","478"
"372","2829","1864","2741","771"
"373","179","728","148","795"
"374","76","5","138","2"
"375","4428","6697","4970","4328"
"377","3170","314","2576","11"
"378","1839","4845","1767","2975"
"379","178","1","181","0"
"381","1617","574","1159","339"
"382","2874","2265","1746","1668"
"383","63","1632","40","721"
"384","148","10977","118","94"
"387","8899","2457","7405","1228"
"388","12598","171","5090","70"
"389","2709","193","2313","5"
"390","1004","0","395","0"
"391","1038","577","1176","164"
"392","1527","304","786","71"
"393","2949","138","1540","3"
"394","1525","464","1062","134"
"395","348","67","123","0"
"396","6503","702","4723","169"
"397","12997","410","11265","38"
"398","0","0","0","0"
"399","223","11","422","2"
"400","1188","147","806","56"
"401","0","0","0","0"
"402","504","218","496","80"
"403","289","25","166","4"
"405","1481","824","1004","812"
"406","295","175","87","35"
"407","4","1","2","1"
"408","2451","111","1523","6"
"409","2480","1819","1356","226"
"410","433","197","215","77"
"411","829","217","441","131"
"412","312","45","138","17"
"414","516","15","396","9"
"415","20","0","13","0"
"416","2","1","4","0"
"417","0","0","0","0"
"419","6","5","2","7"
"420","141","1136","94","1217"
"421","213","255","93","208"
"427","4699","11889","1729","926"
"429","0","0","2","0"
"430","34","13","22","0"
"432","63","0","55","1"
"433","38","0","26","0"
"434","1","1","2","0"
"435","408","151","284","34"
"440","157","2520","111","535"
"443","5","0","4","0"
"444","1583","151","747","14"
"445","116","15","90","1"
"460","34","0","68","0"
"462","70","0","31","1"
"463","1244","118","492","71"
"466","538","480","393","218"
"467","2506","402","2130","18"
"468","7991","6132","5307","1883"
"471","1272","771","1392","53"
"472","1389","628","739","138"
"473","4173","783","1901","776"
"474","0","0","0","0"
"475","284","83","467","34"
"476","4952","3453","4202","1416"
"477","13","3","26","2"
"478","78","121","67","0"
"479","17","0","4","0"
"480","9","5","11","1"
"481","1937","18","1017","34"
"482","157","1392","75","1660"
"483","1075","1454","1789","1141"
"486","47","0","18","0"
"487","29","33","19","3"
"488","4529","1118","2925","269"
"489","3465","153","3188","8"
"490","1610","1263","913","665"
"491","12","1","4","0"
"492","4","0","6","0"
"493","5011","3585","3053","743"
"495","0","0","0","0"
